hhid,group_id,hhnomembers,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
116872,176,5,1,44,7,0,0,0,3,2,0,0,0,0,1,0
116889,157,4,1,34,11,1,0,0,2,2,0,0,0,0,1,0
116908,157,4,1,34,7,0,0,0,3,1,0,0,0,0,1,0
116909,147,4,1,35,0,0,1,0,3,1,0,0,0,0,0,1
116933,176,3,0,33,10,1,0,0,2,1,0,0,0,1,0,0
116944,147,3,1,50,11,1,0,0,3,0,0,0,0,1,0,0
116973,176,5,1,39,7,1,0,0,2,3,0,0,0,0,0,1
116986,147,4,0,50,0,0,1,0,4,0,0,0,0,0,0,1
116991,157,5,1,41,7,1,0,0,2,3,0,0,0,0,1,0
117007,175,3,1,54,13,1,0,0,3,0,0,0,1,0,0,0
117010,176,6,1,39,12,1,0,0,2,4,0,0,0,0,0,1
117012,176,3,0,67,0,0,1,0,2,1,1,0,0,1,0,0
117020,175,4,1,47,7,1,0,0,4,0,0,0,0,0,1,0
117023,176,11,1,62,0,1,1,0,7,4,0,0,0,0,0,1
117064,169,5,1,27,11,1,0,0,4,1,0,0,0,0,1,0
117069,173,8,1,51,0,0,1,0,5,3,0,0,0,0,1,0
117072,173,6,1,67,7,0,0,0,3,3,0,0,0,0,1,0
117073,173,4,1,41,0,0,1,0,3,1,0,0,0,0,1,0
117081,147,5,1,69,0,0,1,0,4,1,0,0,0,0,0,1
117091,147,4,1,29,7,1,0,0,2,2,0,0,0,0,0,1
117104,157,1,0,60,0,0,1,0,1,0,0,0,0,0,1,0
117106,146,5,1,61,12,1,0,0,4,1,0,0,0,0,1,0
117107,175,5,1,52,7,1,0,0,5,0,0,0,0,1,0,0
117140,146,2,1,43,8,1,0,0,2,0,0,0,0,1,0,0
117141,147,6,0,38,0,0,1,0,4,2,0,0,0,0,0,1
117147,147,4,1,54,7,0,0,0,4,0,0,0,0,0,1,0
117165,146,7,1,57,0,0,1,0,4,3,0,0,0,0,1,0
117169,179,4,1,39,0,0,1,0,2,2,0,0,0,1,0,0
117173,176,4,1,44,7,1,0,0,2,2,0,0,0,1,0,0
117181,179,6,1,37,7,1,0,0,5,1,0,0,0,1,0,0
117182,157,4,0,38,13,1,0,0,3,1,0,0,0,0,1,0
117186,175,5,1,41,10,1,0,0,3,2,0,0,0,1,0,0
117192,157,8,1,28,19,1,0,1,7,2,0,0,0,0,1,0
117197,157,8,1,40,0,0,1,0,3,5,0,0,0,0,1,0
117220,175,6,1,65,11,1,0,0,5,1,0,0,0,1,0,0
117221,147,6,1,60,8,1,0,0,5,1,0,0,0,1,0,0
117226,175,9,1,59,0,0,1,0,8,1,0,0,0,1,0,0
117228,175,5,1,38,11,1,0,0,2,3,0,0,0,1,0,0
117229,147,6,1,40,0,0,1,0,2,4,0,0,0,0,0,1
117232,176,5,1,42,10,1,0,0,4,1,0,0,0,1,0,0
117239,147,4,1,40,19,1,0,1,2,2,0,0,0,0,0,1
117242,147,4,1,65,0,0,1,0,3,1,0,0,0,0,0,1
117250,179,4,1,39,0,0,1,0,2,2,0,0,0,0,0,1
117255,175,5,1,30,7,1,0,0,3,2,0,0,0,0,1,0
117260,179,4,0,34,0,0,1,0,1,3,0,0,0,0,0,1
117285,175,6,1,51,7,1,0,0,6,0,0,0,0,0,1,0
117346,176,5,1,32,16,1,0,1,4,1,1,0,0,1,0,0
117350,176,2,0,35,7,1,0,0,1,1,0,0,0,0,0,1
117357,175,5,1,54,11,1,0,0,5,0,0,0,0,1,0,0
117368,175,5,1,59,7,1,0,0,5,0,0,0,0,1,0,0
117382,175,4,1,66,7,1,0,0,4,0,0,0,0,0,0,1
117386,175,6,1,49,10,1,0,0,5,1,0,0,0,0,0,1
117400,176,2,1,39,19,1,0,1,2,0,0,0,0,0,0,1
117402,157,7,1,45,0,0,1,0,5,2,0,0,0,0,1,0
117411,176,3,0,27,10,1,0,0,1,2,0,0,0,1,0,0
117419,157,4,1,33,12,1,0,0,2,2,0,0,0,0,1,0
117433,175,3,1,25,11,1,0,0,1,2,0,0,0,0,1,0
